,Pre-Processing Technique,Model,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
29,Stemming,CBOW,800,DecTree,0.6666666666666666,0.40992033856111526,0.4894078080576936,0.44585861899294743
48,Lemmatizing,CBOW,400,DecTree,0.6639118457300276,0.4017456039019381,0.47767145135566186,0.4356651121474573
28,Stemming,CBOW,400,DecTree,0.6639118457300276,0.4070529027908209,0.4898412038000138,0.44460920738281234
2,None,CBOW,400,RndFrst,0.6611570247933884,0.5566847635813152,0.5052275914828509,0.5110028767552479
49,Lemmatizing,CBOW,800,DecTree,0.6611570247933884,0.4014936519790889,0.48013313917204076,0.4370236728445684
47,Lemmatizing,CBOW,800,SVM,0.6611570247933884,0.5556004453063276,0.5210059926048706,0.5264261539216167
27,Stemming,CBOW,800,SVM,0.6584022038567493,0.5505081695982678,0.5252208361014739,0.5290914437112129
46,Lemmatizing,CBOW,400,SVM,0.6584022038567493,0.5508351488743646,0.5173828041990735,0.521532042198079
26,Stemming,CBOW,400,SVM,0.6556473829201102,0.5406320307306847,0.518091336335228,0.5224133354568137
58,Lemmatizing,Skipgram,400,DecTree,0.6556473829201102,0.3968934040047114,0.45868871784203585,0.4208104871746392
4,None,CBOW,400,NaiveBayes,0.6556473829201102,0.5470601437023087,0.5189167455167307,0.5260102580857298
7,None,CBOW,800,SVM,0.6528925619834711,0.5477527774975056,0.515946167215821,0.5201001540046303
6,None,CBOW,400,SVM,0.6528925619834711,0.5467492260061919,0.5141930115355966,0.5192883898966357
9,None,CBOW,800,DecTree,0.650137741046832,0.3966302033624551,0.4757818459191457,0.4325082007485441
3,None,CBOW,800,RndFrst,0.6473829201101928,0.5120160884866767,0.4856336301674753,0.4851919628421084
8,None,CBOW,400,DecTree,0.6473829201101928,0.3834907782276203,0.445790860550586,0.4071604350242121
41,Lemmatizing,CBOW,800,LogReg,0.6473829201101928,0.38956778479455423,0.4579606129949379,0.41878376781091164
44,Lemmatizing,CBOW,400,NaiveBayes,0.6418732782369146,0.5113864200855852,0.4995979205951893,0.5019242565714991
21,Stemming,CBOW,800,LogReg,0.6391184573002755,0.3772696984840913,0.445062755703488,0.4058438441897521
1,None,CBOW,800,LogReg,0.6391184573002755,0.38510553564317007,0.45520421607378125,0.4157911565009686
5,None,CBOW,800,NaiveBayes,0.6363636363636364,0.491423898456721,0.4673594287900038,0.4655247024882798
20,Stemming,CBOW,400,LogReg,0.6253443526170799,0.36860736298517405,0.4350599819707371,0.39662116761696325
40,Lemmatizing,CBOW,400,LogReg,0.6170798898071626,0.36754198634290386,0.43636016919769777,0.3978044720385117
0,None,CBOW,400,LogReg,0.6143250688705234,0.36624310101399055,0.43679356494001803,0.3977348434377082
