,Pre-Processing Technique,N_Grams,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
141,Lemmatizing,"(2, 3)",3000,LogReg,0.8154269972451791,0.8523257787963671,0.7208780429973314,0.7614153834744523
66,Stemming,"(2, 2)",2000,SVM,0.8126721763085399,0.8496019013666073,0.7114451147631926,0.7527235003676856
91,Stemming,"(2, 3)",3000,LogReg,0.8126721763085399,0.8504774491448338,0.7172548545915344,0.7582972582972584
4,None,"(1, 1)",2000,NaiveBayes,0.8126721763085399,0.8061692030764197,0.7442752616591842,0.7655957292215954
147,Lemmatizing,"(2, 3)",3000,SVM,0.8126721763085399,0.8645780511275678,0.7117202511570269,0.7555350326620744
17,None,"(2, 2)",3000,SVM,0.8126721763085399,0.8733600098731679,0.7053602385410166,0.7545299145299146
116,Lemmatizing,"(2, 2)",2000,SVM,0.8126721763085399,0.8468737773865413,0.7149514261236414,0.7568380158976975
16,None,"(2, 2)",2000,SVM,0.8099173553719008,0.8460914842325531,0.7136316661857371,0.7543290043290044
15,None,"(2, 2)",3000,NaiveBayes,0.8099173553719008,0.8323119053509496,0.7325389049571526,0.7669757451935669
47,None,"(2, 3)",3000,SVM,0.8099173553719008,0.8579703282828284,0.7063439070710054,0.7482713723624285
65,Stemming,"(2, 2)",3000,NaiveBayes,0.8099173553719008,0.8368380082248045,0.7345671970312112,0.7690549759229534
33,None,"(1, 2)",3000,RndFrst,0.8099173553719008,0.8356720945083014,0.6921458625525947,0.7325803344715874
54,Stemming,"(1, 1)",2000,NaiveBayes,0.8071625344352618,0.809007553407216,0.7408103326018732,0.7650293542569364
83,Stemming,"(1, 2)",3000,RndFrst,0.8044077134986226,0.8345959595959597,0.686652641421225,0.7287286511834488
41,None,"(2, 3)",3000,LogReg,0.8044077134986226,0.8392762284196547,0.7069355621618115,0.7453578010598857
46,None,"(2, 3)",2000,SVM,0.8044077134986226,0.8311243972915295,0.6973443745791866,0.7347108322415802
64,Stemming,"(2, 2)",2000,NaiveBayes,0.8044077134986226,0.8302521008403362,0.7220613531789438,0.7552739472064179
96,Stemming,"(2, 3)",2000,SVM,0.8016528925619835,0.8410905666383702,0.6975026339276726,0.738120839733743
146,Lemmatizing,"(2, 3)",2000,SVM,0.8016528925619835,0.8406523767265116,0.6937211861733896,0.7339463060213199
97,Stemming,"(2, 3)",3000,SVM,0.7988980716253443,0.8556370979658178,0.6903731341614269,0.7315162386900419
14,None,"(2, 2)",2000,NaiveBayes,0.7988980716253443,0.8265910886944218,0.7168432684414082,0.750728409778219
55,Stemming,"(1, 1)",3000,NaiveBayes,0.7988980716253443,0.8116829032497955,0.7211749889833597,0.7463285539360903
114,Lemmatizing,"(2, 2)",2000,NaiveBayes,0.7988980716253443,0.8237708845303781,0.7168432684414082,0.7495272377336749
144,Lemmatizing,"(2, 3)",2000,NaiveBayes,0.7961432506887053,0.752542541374377,0.7571194338006179,0.7527924366508216
94,Stemming,"(2, 3)",2000,NaiveBayes,0.7961432506887053,0.7513985342662712,0.7553662781203935,0.7526347494413729
44,None,"(2, 3)",2000,NaiveBayes,0.7851239669421488,0.7400096049607736,0.746958400719381,0.7414116130782799
12,None,"(2, 2)",2000,RndFrst,0.7796143250688705,0.8516383077699228,0.6545942185567194,0.7038439230832966
